year,value,for_sale,comments,beanie_name
2006,1642.81,0,Quaerat eius etincidunt dolore ut,Bones
1985,176.30,0,Porro amet voluptatem aliquam magnam,Boneses
2001,1778.59,0,Sit eius labore voluptatem ut est,Bongo
2002,1360.95,0,Dolore dolore eius quiquia ipsum velit,Bongo
2013,960.79,0,Quaerat modi tempora dolorem sit velit modi,Bongo
2005,482.43,0,Ipsum numquam numquam voluptatem numquam,Bonnet
1994,120.29,0,Velit numquam ipsum voluptatem,Bonsai
1997,528.37,0,Etincidunt neque neque quaerat quaerat quaerat labore,Bonzer
2005,780.05,0,Est tempora dolorem dolor aliquam dolore aliquam,Bonzer
1990,1369.78,0,Sit dolorem aliquam labore velit adipisci quaerat quiquia,Boo Who?
1993,1453.77,0,Quisquam sit labore dolorem consectetur velit est ut,Books
2015,460.84,0,Dolor sit sed tempora porro sit sit quisquam,Boomer
2001,707.49,0,Eius amet magnam quisquam velit modi est ut,Booties
2007,1230.51,0,Dolore est numquam quiquia eius,Booties
2004,1301.30,0,Numquam voluptatem consectetur dolor,Boots
2014,1161.73,0,Quiquia est ut non sed,Boots
2012,923.54,0,Quisquam neque magnam quiquia dolore,Boston
1998,1301.01,0,Amet consectetur non non magnam,Boston Bruins
2004,1317.32,0,Labore sed velit numquam dolor porro,Boston Red Sox
2004,854.39,0,Ipsum porro aliquam porro sit,Bounder
2013,996.90,0,Ut etincidunt velit aliquam sed amet non sit,Bounds
1995,1260.88,0,Ipsum aliquam velit est aliquam,Bravo
2001,1402.00,0,Quisquam tempora sed numquam voluptatem,Breadcrumbs
2010,9.50,0,Dolorem dolor magnam magnam voluptatem quaerat,Bride
2018,96.63,0,Dolore eius magnam numquam non voluptatem,Brigitte
2003,1666.06,0,Modi quiquia voluptatem quisquam quisquam amet,Britannia
1999,683.76,0,Sit neque velit dolor dolor labore,British Columbia Pacific Dogwood
1991,223.21,0,Consectetur labore velit tempora quiquia quaerat est,Brittany
2018,1589.25,0,Quaerat dolorem tempora labore porro labore ipsum eius,Brobee
2014,488.38,0,Velit modi quisquam etincidunt,Brobee
1985,1866.41,0,Sit numquam amet ipsum dolorem modi amet,Bronty
1994,1629.68,0,Amet consectetur etincidunt quiquia neque,Brownie
2010,1709.55,0,Sit sed quisquam magnam,Brownie
1985,649.14,0,Quaerat neque aliquam quaerat velit aliquam neque non,Brownie
1994,914.35,0,Tempora etincidunt labore numquam,Bruno
2009,908.67,0,Eius dolorem ipsum amet neque ipsum consectetur quisquam,Brutus
2007,447.82,0,Amet quaerat neque quisquam dolorem modi modi est,Brutus
1991,574.36,0,Porro adipisci aliquam quisquam quiquia quisquam ipsum,Bubble Gum
1997,1004.98,0,Ipsum velit adipisci ipsum,Bubbles
2012,1635.62,0,Quisquam ipsum voluptatem modi porro,Bubbly
1986,765.81,0,Modi quisquam eius sit modi etincidunt tempora,Buck
1981,364.19,0,Voluptatem porro dolor labore labore dolor ipsum,Buckingham
2009,169.30,0,Labore adipisci velit numquam quisquam,Bucky
2017,1207.08,0,Labore quaerat sed porro amet adipisci quaerat,Buddy
1992,1413.01,0,Quisquam amet modi est,Buff
1982,587.73,0,Porro ut non neque eius sit neque consectetur,Bugs Bunny
1984,428.52,0,Amet porro est voluptatem sit quiquia aliquam,Bumble
2013,1075.98,0,Adipisci dolor labore tempora,Bunga
2011,660.04,0,Voluptatem sed ut non,Bunga Raya
1996,1555.94,0,Quisquam numquam neque dolor sed velit numquam,Bunnie
2011,823.53,0,Sit dolore sed eius,Burrows
1989,1025.09,0,Sit amet amet dolore dolor velit neque non,Busby
1996,1642.48,0,Adipisci ut amet quiquia quisquam labore quaerat,Bushy
2006,661.36,0,Sed voluptatem etincidunt consectetur tempora,Buster
2018,1543.02,0,Velit quiquia velit voluptatem modi,Butch
2015,1138.64,0,Est tempora porro eius,Buttercream
1988,628.07,0,Etincidunt quiquia sit consectetur sed labore,Buttercup
1984,1413.65,0,Modi ipsum magnam modi ut quaerat adipisci,Buzzie
1996,1255.77,0,Dolore etincidunt neque neque,Buzzy
1986,499.87,0,Sit adipisci eius voluptatem aliquam sed,CAND
2000,677.82,0,Quaerat quisquam tempora velit sed velit,Cabaret
1997,1067.04,0,Quisquam sit aliquam etincidunt voluptatem dolore magnam,Caipora
1985,290.66,0,Etincidunt aliquam eius porro sit,California
1985,1349.61,0,Sit amet quiquia quisquam quiquia,California Poppy
1986,1546.55,0,Dolorem dolore eius quiquia,Canada
1987,1300.15,0,Quiquia eius numquam eius non adipisci ut modi,Canada
2019,1599.13,0,Consectetur dolore sed est,Candy Canes
1990,1689.16,0,Quisquam porro consectetur adipisci sed,Candy Canes
2001,472.54,0,Aliquam non ut etincidunt eius,Candy Cat
2003,1657.12,0,Quiquia est quisquam dolorem,Canters
2010,731.65,0,Neque sit amet modi eius ut etincidunt,Canyon
2017,1528.31,0,Consectetur modi dolorem sit modi,Cappuccino
1998,1915.87,0,Porro magnam consectetur aliquam adipisci,Captain
2005,165.19,0,Dolor consectetur est quaerat dolore non,Captain America
2007,418.74,0,Porro consectetur ipsum dolorem modi non porro,Captain Haddock
1995,1278.76,0,Magnam ipsum sit quaerat,Captain SpongeBob
2007,368.23,0,Quisquam aliquam porro dolore adipisci dolorem,Cargo
1995,969.89,0,Tempora dolor quisquam amet dolore,Cargo
2012,290.85,0,Ipsum tempora neque labore,Carl
1994,394.84,0,Amet labore velit eius,Carl Edwards 99
1987,498.54,0,Ut dolore quisquam numquam,Carnation
2018,681.78,0,Tempora modi amet est velit,Carrots
2017,188.58,0,Numquam magnam voluptatem velit,Carvers
2016,744.91,0,Aliquam quiquia velit magnam quaerat magnam,Casanova
2008,151.66,0,Voluptatem velit quiquia labore consectetur sit porro eius,Casey Mears 25
1990,1463.44,0,Dolorem dolorem magnam etincidunt quisquam,Cashew
1983,1852.51,0,Labore tempora modi velit quisquam eius,Cassie
2000,1211.82,0,Quisquam non ipsum neque sed est tempora etincidunt,Cat With Heart Eyes
2002,1241.29,0,Eius numquam est dolor dolorem ut,Catcher
1990,1709.51,0,Magnam tempora tempora quisquam quaerat sit,Catsby
1992,1210.83,0,Aliquam dolore neque adipisci dolorem,Caw
2012,527.56,0,Quiquia est etincidunt tempora voluptatem non etincidunt,Cecil
2014,628.02,0,Eius quaerat tempora quisquam tempora est,Celebrate
1981,1599.43,0,Quisquam velit quiquia quisquam etincidunt sit dolor,Celebration
2016,94.32,0,Sit adipisci non neque ipsum,Celebrations
1991,1101.83,0,Dolore dolorem non ut dolorem,Champion
2016,42.77,0,Dolorem quisquam est tempora labore porro,Champion
2006,1678.17,0,Velit consectetur quaerat dolor dolore quisquam magnam,ChariTee
2002,1768.84,0,Dolor est ipsum consectetur eius sit,Charles
2018,1784.22,0,Porro quisquam amet dolorem quiquia,Charlie
1988,136.26,0,Modi quisquam labore sed quaerat voluptatem dolor,Charlie
1980,1938.15,0,Neque velit ut eius,Charlie Brown
2013,1116.39,0,Dolore labore amet adipisci ipsum ipsum amet ipsum,Charlie Brown
1992,359.95,0,Velit modi neque quaerat aliquam quisquam labore,Charlie Brown
1992,368.38,0,Sed adipisci numquam est adipisci,Charm
1982,470.93,0,Dolorem modi voluptatem modi velit eius ut dolorem,Charmer
2016,1454.67,0,Non aliquam etincidunt quaerat dolorem etincidunt dolore,Charmer
1985,1834.59,0,Magnam modi etincidunt dolore sit dolor,Charming
1990,245.35,0,Ipsum porro modi labore dolorem,Charming
1996,309.44,0,Porro consectetur adipisci quaerat est quaerat dolore,Chaser
1991,1440.72,0,Quiquia numquam numquam porro aliquam numquam consectetur velit,Checkers
1998,1516.87,0,Dolor sit neque eius labore ut dolore quisquam,Cheddar
2013,614.01,0,Labore est amet eius,Cheek to Cheek
1987,1868.39,0,Dolor quisquam neque numquam,Cheeks
1990,1281.71,0,Non adipisci etincidunt quaerat aliquam magnam,Cheery
2012,664.13,0,Consectetur magnam consectetur quiquia tempora dolorem,Cheesly
2008,1569.38,0,Sed neque dolore aliquam sed dolore,Cheezer
1988,233.52,0,Amet magnam consectetur adipisci,Chef Robuchon
2016,1478.42,0,Quaerat ut quiquia amet dolore velit,Cherry Ice
1984,1692.77,0,Sit non non ut adipisci quaerat,Chessie
2002,1745.27,0,Eius adipisci neque sit sed,Chestnut
1989,194.22,0,Ipsum amet aliquam consectetur,Chicago
1992,685.40,0,Quiquia sit numquam voluptatem,Chicago Bears
1984,1218.79,0,Aliquam amet sed sed velit ut velit,Chicago Blackhawks
2003,1532.71,0,Velit quisquam modi neque ut,Chicago Cubs
2004,317.24,0,Ut adipisci sit ut porro,Chickie
2006,1604.23,0,Modi tempora amet amet porro,Chili
1999,1319.87,0,Ut velit dolore eius numquam dolor porro,Chill
1984,14.39,0,Velit aliquam voluptatem porro dolore dolor ipsum modi,Chillingsly
2017,1207.01,0,Ut dolorem amet ipsum,Chills
1992,571.94,0,Sed eius sit modi velit labore,Chillton
2005,274.54,0,Labore amet tempora amet etincidunt dolor numquam modi,Chilly
1991,451.42,0,Adipisci modi quaerat quiquia,China
2013,464.80,0,Magnam neque porro aliquam,Chinook
1982,339.14,0,Sit aliquam numquam ipsum porro quisquam,Chip
1982,1848.68,0,Eius dolorem magnam etincidunt etincidunt ipsum dolor,Chipper
1980,861.01,0,Labore est amet dolorem sit tempora,Chitraka
1980,1188.81,0,Quiquia adipisci quisquam ut consectetur,Chloe
2010,1030.32,0,Sed non sed dolorem,Chococat
1990,1946.29,0,Dolor aliquam porro velit sit sed quaerat,Chocolate
1982,706.67,0,Dolor tempora voluptatem sit voluptatem tempora dolorem,Chocolate
1998,604.39,0,Quiquia sit non quaerat neque velit aliquam magnam,Chocolate Chip
1991,42.71,0,Ipsum dolore dolore velit velit aliquam,Chocolate Kiss
1986,1242.37,0,Amet quisquam ipsum quisquam eius dolor,Chompers
2000,275.98,0,Dolorem dolore numquam modi quiquia consectetur sed,Chompy
2016,1424.96,0,Non non sit non est sed labore eius,Chops
2004,1594.19,0,Dolorem quisquam tempora dolore non dolore tempora quisquam,Chopstix
2000,1615.02,0,Labore velit magnam dolorem tempora voluptatem porro non,Chuckles
1993,1650.02,0,Dolorem quisquam adipisci dolore tempora modi aliquam,Cinders
2012,850.15,0,Sit amet consectetur voluptatem dolore,Cinta
1984,1528.19,0,Porro quisquam sed dolorem aliquam porro quiquia,Cito
2011,480.94,0,Tempora magnam aliquam non eius ut,Clark
1983,1938.15,0,Tempora modi sit tempora etincidunt voluptatem neque,Class of 2004
2014,1223.25,0,Quiquia sed neque porro magnam modi amet quaerat,Classy
2005,1423.98,0,Magnam quiquia quaerat voluptatem consectetur quaerat,Claude
2010,159.62,0,Etincidunt est dolore amet non,Cleo
1990,1402.06,0,Tempora modi magnam dolor,Clint Bowyer No. 07
1987,1188.33,0,Aliquam ipsum dolor modi labore numquam voluptatem,Clipper
1997,1263.19,0,Sit porro dolorem ipsum,Clover
2002,1641.38,0,Ut non amet eius sed consectetur aliquam velit,Clover
1992,1277.75,0,Ipsum porro est quaerat dolore est dolor,Clubby
2007,1725.45,0,Quisquam dolor sit consectetur,Clubby 5Th Anniversary Edition
1986,25.22,0,Quaerat dolor non numquam porro numquam aliquam,Clubby II
1993,1791.94,0,Velit non quiquia etincidunt velit,Clubby III
2018,1279.76,0,Tempora labore magnam modi velit,Clubby IV
1984,1940.21,0,Est porro magnam sit amet labore,Clubby VI
1997,111.29,0,Ut aliquam voluptatem dolorem ut,Clubby VI
1996,1819.96,0,Neque labore tempora amet numquam velit modi,Clubby VI
1987,671.39,0,Neque tempora sit adipisci dolor sit,Clubby VII
2007,330.20,0,Non consectetur quaerat quisquam est ut eius,Clubby VIII
1995,1536.17,0,Numquam labore ipsum dolorem numquam neque tempora neque,Clucky
2003,248.57,0,Adipisci sit porro numquam consectetur dolor,Coastline
2006,1905.44,0,Consectetur est voluptatem est,Coco Presley
2010,1458.57,0,Consectetur modi neque amet non modi ut eius,Coco Presley
1983,244.90,0,Est neque labore consectetur consectetur quiquia magnam quisquam,Cocoa
1995,1235.64,0,Est ut sit non labore amet,Cocoa Bean
1987,820.84,0,Porro tempora quiquia dolore dolorem ut labore,Color Me Beanie
2002,1739.56,0,Est ut sed tempora quisquam est,Color Me Beanie
2008,738.30,0,Sit dolorem dolorem eius,Color Me Beanie
1989,1208.40,0,Dolorem velit etincidunt aliquam quisquam neque sed,Color Me Beanie
1985,1454.08,0,Ipsum eius tempora aliquam,Color Me Beanie
2007,1479.79,0,Ut neque velit dolor quaerat,Color Me Beanie
1983,551.34,0,Porro voluptatem dolorem labore quiquia,Colorado
2007,1276.46,0,Sit sed labore etincidunt quaerat voluptatem porro,Colorado Columbine
2000,783.73,0,Adipisci porro labore quisquam amet,Colosso
1987,9.69,0,Tempora velit dolor neque voluptatem voluptatem,Columbus
1990,1481.12,0,Porro dolore quiquia quiquia etincidunt consectetur,Comet
1992,1297.34,0,Est neque labore quaerat,Congo
1997,813.64,0,Dolor neque sed magnam,Congo
1990,623.23,0,Dolorem sit non labore dolorem consectetur,Congrats
1996,1056.01,0,Est labore sit non porro ipsum,Cookies and Creme
2002,212.24,0,Amet neque numquam aliquam porro,Cool Cat
1995,91.02,0,Quisquam quaerat voluptatem aliquam quaerat etincidunt,Cool Chick
2010,384.72,0,Quisquam magnam est est,Cool Clutch
2014,1961.76,0,Dolorem ipsum eius eius dolor magnam quaerat magnam,Cool Teacher
1991,1690.15,0,Porro sed quiquia ipsum quiquia porro ipsum est,Coolio
2007,921.42,0,Adipisci amet adipisci consectetur,Coolstina
