1.1.1.1,1.1.1.0/24
192.30.64.227,192.52.232.0/21
192.89.80.155,203.0.128.0/17
192.31.169.68,126.62.70.0/23
203.0.115.134,198.51.97.37/32
203.10.26.233,203.4.64.0/18
192.175.213.54,192.52.194.209/32
169.247.25.156,198.50.132.252/30
169.234.5.221,198.51.99.240/28
195.232.102.160,198.51.105.54/31
192.156.108.68,192.20.240.64/27
198.22.20.126,100.4.0.0/14
192.31.200.35,192.52.104.0/21
192.31.144.178,192.84.128.0/19
198.16.17.228,192.2.245.0/24
198.49.69.198,1.136.0.0/13
184.74.82.105,198.177.160.128/25
123.223.247.14,101.3.192.0/18
198.54.179.170,203.56.0.0/17
192.34.73.229,192.0.17.237/32
198.2.165.41,198.38.224.0/19
198.12.162.40,1.19.86.0/23
192.179.162.75,203.93.135.196/31
192.230.48.108,123.192.0.0/12
40.105.211.160,192.3.171.32/28
3.113.30.200,192.0.64.0/18
192.0.86.49,202.224.0.0/12
192.175.53.135,203.0.120.0/23
192.91.147.188,198.50.53.64/26
126.248.205.55,196.141.92.104/30
197.215.33.89,198.51.119.200/30
192.0.97.87,203.0.156.60/31
198.48.148.207,202.0.0.0/8
192.0.84.133,169.244.64.0/18
194.239.142.77,98.137.3.205/32
198.51.98.46,192.52.196.0/22
198.51.101.8,192.31.199.0/24
192.31.197.11,192.88.108.0/23
182.166.204.8,203.0.64.0/19
203.0.118.33,192.52.194.0/23
111.0.75.138,192.0.1.0/24
192.0.98.45,192.49.0.0/16
202.164.69.165,192.31.198.0/23
203.2.113.191,48.143.218.160/28
192.31.206.14,192.88.27.112/28
198.50.143.74,203.0.198.0/24
175.141.215.68,2.29.11.201/32
192.186.92.99,203.0.98.140/30
169.232.58.160,193.144.4.0/22
192.0.3.74,192.45.0.0/16
20.136.90.143,192.48.0.0/14
192.31.199.139,192.90.0.0/15
198.39.123.179,192.174.190.192/26
192.164.45.247,198.29.4.0/23
192.175.55.106,196.227.96.0/22
192.31.223.167,192.175.49.128/26
192.52.213.242,203.0.114.72/30
192.246.234.7,198.51.86.64/26
198.177.154.143,203.0.184.128/27
3.208.7.172,192.79.184.80/28
198.49.193.207,192.175.51.176/28
192.33.166.66,192.112.0.0/12
199.76.87.23,198.51.96.32/27
198.22.230.51,203.13.77.88/30
169.193.124.38,192.31.199.180/30
192.162.48.90,198.2.8.0/22
173.207.140.127,198.51.96.0/23
203.0.182.199,192.0.85.212/31
192.174.10.194,192.52.194.112/28
192.52.57.222,192.52.221.56/30
192.31.214.25,203.2.192.0/19
198.51.125.118,203.24.192.0/18
192.52.198.93,192.6.0.0/17
203.0.115.129,192.136.0.0/14
214.54.38.241,203.19.190.0/23
192.24.184.147,194.30.0.0/19
192.174.30.28,192.31.197.0/25
192.53.202.176,198.55.196.48/29
192.88.103.160,62.224.0.0/12
192.90.81.228,192.52.216.0/21
192.175.39.10,198.51.112.0/20
192.52.238.140,198.17.86.0/23
192.91.115.184,192.52.136.0/21
170.218.224.233,124.124.48.0/21
192.88.12.46,192.88.100.40/29
198.51.86.204,192.51.128.0/21
192.88.120.203,197.0.0.0/8
192.52.95.39,192.88.147.6/31
192.88.96.198,32.218.192.252/30
192.31.89.187,203.2.208.0/21
1.165.144.231,192.0.168.96/30
153.249.104.242,133.48.0.0/12
192.31.193.111,170.139.65.0/26
192.0.15.132,192.175.49.216/30
100.60.80.182,192.123.146.0/23
192.0.23.100,35.164.0.0/14
184.149.76.198,110.4.240.0/21
192.88.1.109,198.21.28.0/22
192.48.55.163,192.31.200.0/21
192.175.61.114,192.31.197.192/26
192.175.213.43,124.48.169.152/30
192.31.198.150,192.88.106.128/25
198.163.9.103,100.8.179.192/30
192.31.243.231,192.88.4.0/23
198.51.99.146,214.0.0.0/7
203.5.37.2,192.92.0.0/14
203.30.181.183,203.1.66.128/31
167.113.116.179,192.174.219.32/28
203.5.247.210,192.0.5.192/26
192.50.238.36,19.22.220.0/23
203.1.141.153,203.0.72.0/21
203.148.216.208,203.0.88.0/21
169.205.151.37,192.0.128.0/20
103.245.8.54,18.200.42.0/23
169.253.55.8,198.51.103.212/30
169.246.5.137,192.52.200.0/21
192.53.90.28,192.153.148.128/27
192.52.198.28,192.175.56.0/21
192.62.219.88,203.0.64.182/31
192.31.198.35,203.0.192.0/18
192.60.148.48,192.88.97.224/28
198.51.99.209,192.52.196.0/23
202.146.252.29,198.56.0.0/13
5.251.107.116,192.76.0.0/16
192.0.38.159,192.88.64.0/20
192.188.179.221,192.88.101.128/26
123.204.192.6,198.51.71.232/29
198.50.190.50,192.25.57.128/26
192.88.61.149,198.51.106.128/27
198.26.140.128,192.175.184.0/21
198.24.54.19,192.0.4.0/22
203.36.197.128,192.30.1.128/27
202.68.42.27,100.247.128.64/29
198.51.143.50,203.123.48.0/21
192.31.195.70,192.96.0.0/13
192.87.116.150,192.175.24.232/31
171.254.156.104,192.31.252.0/22
192.175.49.174,192.153.188.0/22
169.136.13.117,122.141.97.80/30
198.100.211.40,198.166.128.0/18
198.51.250.64,192.31.197.0/26
203.0.103.79,198.51.106.0/23
192.15.81.147,198.51.102.65/32
198.58.26.167,203.0.72.0/21
192.166.245.176,192.174.155.0/25
192.52.192.32,169.237.161.20/30
192.50.75.67,192.0.3.128/26
1.70.34.211,50.179.96.0/19
110.193.112.173,203.2.0.0/16
169.203.68.87,192.30.186.96/27
208.159.178.233,192.175.168.0/21
192.31.248.103,192.128.42.8/29
198.51.101.89,169.252.128.0/17
80.191.6.230,192.0.240.0/20
192.37.174.106,192.177.129.192/31
192.50.99.223,198.22.228.0/22
77.22.219.168,192.139.136.0/21
203.13.61.99,192.55.0.0/17
166.129.52.115,198.55.192.0/20
197.194.121.147,192.89.108.128/25
192.28.12.199,192.31.197.80/28
66.4.193.147,192.31.197.35/32
203.0.127.246,102.145.196.160/27
192.88.49.173,110.25.157.64/26
192.0.3.158,116.92.0.0/15
198.50.71.118,126.116.208.0/20
198.51.110.104,198.21.8.88/30
203.0.118.177,198.51.99.50/32
192.0.3.25,192.172.237.216/29
192.0.101.156,198.51.116.0/22
192.89.62.180,100.240.0.0/14
192.137.75.218,192.0.7.128/26
198.51.101.14,192.51.48.0/20
203.0.104.40,192.42.227.0/25
192.175.51.73,192.31.110.32/28
169.253.18.33,159.0.0.0/8
192.31.129.178,169.248.198.0/24
192.175.237.104,192.31.224.0/20
100.148.232.62,203.0.72.0/21
192.66.156.199,192.31.198.0/26
198.51.106.175,192.26.0.0/15
192.52.195.141,169.227.182.88/30
192.169.163.87,192.52.204.32/28
192.88.171.163,192.52.192.88/32
117.131.238.57,192.53.232.0/21
171.54.140.184,196.128.0.0/9
192.3.254.12,192.157.8.40/30
22.96.106.103,192.53.48.0/21
195.178.72.74,169.224.225.0/24
169.59.35.60,169.249.121.80/28
168.101.141.251,169.234.0.0/15
192.175.53.3,192.52.222.192/26
192.52.192.121,99.35.136.192/31
198.51.10.223,198.16.128.0/18
192.55.73.93,192.88.102.128/27
40.179.253.126,192.175.168.0/21
169.255.52.198,200.156.64.0/21
192.0.20.142,192.172.20.0/23
192.52.214.26,192.175.62.0/24
192.88.116.103,192.2.122.64/26
198.50.153.58,192.31.80.0/21
192.88.97.67,203.0.101.64/26
198.234.124.56,192.52.196.0/22
169.225.50.168,11.15.68.0/23
192.11.124.242,192.88.104.244/30
198.198.138.172,203.0.96.0/20
169.242.245.29,192.28.128.0/17
185.154.205.242,198.160.0.0/11
103.44.99.10,151.70.124.0/22
169.251.132.114,192.10.43.0/24
198.139.133.190,110.61.0.0/19
198.48.123.202,198.51.116.128/25
168.216.248.97,169.89.102.192/26
192.52.192.90,192.93.245.192/26
192.8.176.75,192.31.202.0/24
198.82.166.188,192.174.140.0/22
192.172.69.232,18.1.64.0/18
203.0.115.140,100.136.58.128/25
198.61.6.8,102.0.0.0/8
192.56.114.26,102.111.240.0/22
114.120.31.31,192.0.6.0/32
192.52.194.37,103.204.128.0/21
199.192.113.204,203.11.0.0/17
192.175.251.228,192.52.194.0/23
192.31.77.125,169.240.0.0/13
192.31.171.243,53.143.135.0/24
192.0.103.60,192.31.216.128/27
192.0.5.29,197.56.0.0/21
192.0.1.254,192.59.63.64/28
216.45.30.226,192.173.0.0/17
192.52.210.29,192.88.182.0/23
192.174.21.172,100.32.0.0/11
192.52.195.145,198.55.0.0/16
192.88.96.207,126.248.0.0/13
192.89.58.151,192.175.52.64/27
203.0.15.200,198.51.116.128/26
198.51.103.214,198.48.0.0/15
169.255.110.100,192.53.193.32/29
192.172.42.73,198.17.0.0/18
198.51.33.229,199.65.250.64/26
192.31.193.38,192.0.7.170/32
203.17.158.134,192.175.64.0/19
192.186.49.128,172.0.0.0/6
192.52.136.115,169.253.64.0/20
100.27.164.202,203.4.0.0/14
192.175.63.52,169.96.55.112/28
203.5.192.240,192.0.16.0/20
169.227.232.177,192.88.0.0/19
101.208.102.224,192.0.96.0/22
192.31.237.157,192.52.224.0/19
1.157.131.95,192.31.0.0/17
192.8.151.81,18.0.0.0/7
192.163.2.48,192.50.101.4/30
198.58.248.153,203.63.231.46/31
192.175.47.211,198.57.120.0/23
168.181.22.92,203.0.117.76/30
199.44.69.62,192.55.208.0/21
198.51.103.190,192.2.167.40/29
103.9.93.204,192.88.97.192/27
192.52.227.14,192.0.13.96/27
198.51.253.228,86.238.197.0/27
192.93.38.1,192.175.196.0/22
192.52.194.5,192.31.198.220/31
198.230.238.136,203.0.116.64/28
10.147.32.83,198.51.96.0/25
192.95.33.95,194.0.0.0/8
203.6.9.164,203.0.126.0/23
194.111.132.10,198.51.113.172/30
171.152.169.107,192.31.197.162/31
87.251.22.53,192.88.98.192/31
48.104.202.197,192.0.1.0/25
192.25.116.10,203.0.97.85/32
100.246.115.154,192.52.206.40/31
1.19.102.96,192.50.181.0/24
192.53.253.197,198.51.102.128/25
192.160.27.47,112.128.0.0/9
192.31.204.185,192.53.189.232/29
169.2.11.113,192.0.60.0/25
203.185.122.83,203.0.119.0/24
203.0.112.19,192.175.50.40/29
192.52.8.129,169.237.0.0/16
192.31.227.63,198.51.163.172/30
192.31.197.18,198.14.0.0/15
198.221.131.73,192.162.20.0/24
192.52.100.119,203.25.64.0/18
192.0.9.100,192.0.192.0/18
203.8.24.120,203.8.24.0/24
192.88.27.89,186.236.0.0/17
192.31.227.254,194.0.0.0/7
192.15.24.132,192.192.0.0/10
192.31.73.214,203.0.102.0/24
203.0.118.114,192.0.242.0/23
198.29.72.221,192.51.221.96/27
192.0.3.163,203.0.76.16/30
198.51.81.23,203.192.0.0/10
198.51.97.3,204.234.29.67/32
198.148.223.14,203.76.224.0/19
192.174.202.106,192.2.193.192/27
192.170.23.62,169.195.60.0/22
192.17.14.141,206.210.173.128/25
25.251.88.166,198.48.0.0/15
8.8.8.8,8.8.0.0/16
169.128.98.8,169.128.0.0/10
203.0.160.159,203.0.160.0/19
199.246.149.118,192.31.224.0/19
198.51.98.205,207.130.48.0/22
178.111.16.208,169.76.0.0/14
192.89.147.33,192.8.224.0/21
203.7.208.125,203.7.208.0/20
203.0.21.84,192.0.6.0/23
192.0.3.126,192.88.180.0/23
192.220.115.181,192.175.3.0/24
192.52.195.90,192.31.216.0/21
198.127.160.186,4.64.0.0/11
192.53.254.95,192.31.197.0/24
169.253.193.46,203.0.117.0/24
15.4.64.111,15.4.64.0/19
198.51.107.140,198.51.102.64/26
203.27.226.53,192.80.105.164/30
100.4.140.6,169.255.128.0/17
192.176.145.251,192.88.33.60/30
192.27.55.136,194.76.192.0/18
192.52.202.88,192.88.44.0/22
198.16.120.131,192.175.49.0/29
169.244.117.139,192.175.249.0/26
192.14.169.103,192.175.53.128/25
192.13.12.166,100.56.0.0/13
199.254.161.168,198.51.137.0/24
192.28.254.167,192.52.198.246/31
192.67.250.110,2.0.0.0/8
192.12.215.36,192.88.64.0/19
169.40.26.107,208.0.0.0/5
198.51.103.49,192.0.50.96/28
117.194.34.12,198.20.0.0/14
192.175.24.15,192.54.96.0/19
193.70.33.206,198.51.96.41/32
192.88.25.156,192.175.52.0/25
198.51.54.223,203.7.253.154/32
192.31.251.161,198.51.96.0/23
192.147.12.140,203.0.114.192/28
11.71.176.182,48.39.18.0/24
169.249.216.140,192.175.50.8/29
198.58.134.157,192.22.176.76/31
192.25.254.34,174.209.128.0/20
192.29.15.141,4.19.122.0/27
193.244.54.100,192.92.217.0/24
192.14.143.36,192.190.160.0/19
102.163.241.101,192.31.199.0/25
192.0.109.74,198.100.0.0/14
196.68.0.174,192.31.143.0/27
192.0.92.52,198.51.42.0/23
192.0.17.103,198.22.177.64/26
192.52.203.53,201.0.0.0/9
192.0.11.24,206.42.186.22/31
197.45.168.117,203.56.160.0/20
203.0.32.130,192.25.96.0/22
198.21.34.174,192.0.96.0/19
169.255.186.70,192.88.96.0/23
203.1.31.42,198.16.0.0/20
203.0.57.113,169.231.187.0/24
192.29.34.79,198.51.166.120/29
192.0.88.29,192.52.192.58/32
69.105.164.75,198.51.96.204/32
202.152.250.74,192.31.197.96/29
192.181.177.81,114.136.0.0/19
192.175.84.112,192.50.0.0/16
192.175.36.87,192.174.4.0/22
116.42.198.150,198.34.0.0/15
192.51.79.149,192.0.1.128/25
192.0.3.227,125.87.104.0/23
174.142.62.65,192.88.96.128/25
192.119.85.27,192.0.232.65/32
192.151.39.52,192.172.79.148/30
192.169.48.222,169.139.203.16/28
192.31.199.40,192.31.48.0/20
168.97.120.58,192.88.128.0/17
192.0.48.227,203.32.0.0/11
192.88.102.95,199.102.203.20/32
192.52.195.158,198.219.5.0/24
123.156.91.160,192.31.131.61/32
192.0.155.91,198.51.102.224/27
199.120.50.9,192.159.30.0/23
198.51.106.57,124.104.0.0/14
192.52.91.183,198.4.253.128/28
192.175.46.22,192.206.112.0/20
192.52.199.97,192.88.88.0/22
192.31.165.76,198.111.0.0/17
123.166.2.185,192.88.98.68/30
203.0.124.180,30.0.0.0/8
37.202.190.188,198.51.120.0/21
198.20.175.132,192.53.128.0/18
203.0.100.57,203.3.0.128/25
214.104.232.210,192.31.204.0/24
205.172.183.162,122.198.128.0/17
192.31.194.11,169.253.163.0/25
192.177.61.54,198.50.206.6/31
169.242.138.56,192.31.202.0/25
192.89.161.230,8.207.17.128/25
101.190.198.99,101.146.208.0/21
198.51.115.45,192.175.28.160/28
192.1.48.202,101.104.0.0/14
203.1.210.187,192.88.96.64/26
124.241.118.15,192.52.200.0/21
192.89.22.178,192.52.196.0/22
205.33.190.127,192.31.224.0/19
5.194.35.150,192.52.58.192/31
198.21.127.186,192.31.248.0/21
192.88.96.187,192.163.0.0/17
193.243.231.178,202.212.0.0/15
192.130.19.190,169.232.72.0/24
192.89.165.69,175.104.32.0/19
200.229.166.168,32.0.0.0/3
192.31.246.48,169.242.0.0/15
194.29.115.8,192.88.0.0/20
100.49.165.192,192.52.204.224/28
192.88.167.248,203.9.202.224/27
192.28.166.133,192.88.102.128/25
165.14.138.169,192.52.195.112/28
192.66.153.40,192.52.192.0/24
97.70.103.69,203.0.164.0/23
200.129.37.197,192.89.128.0/18
192.175.19.196,104.141.209.64/28
192.54.234.59,192.88.19.192/32
192.0.4.74,171.249.225.64/26
2.211.255.99,168.185.59.0/24
198.51.101.138,198.128.0.0/9
192.175.55.0,100.22.224.0/19
192.0.1.126,192.118.64.64/26
198.35.131.175,203.234.140.0/22
192.30.127.251,192.175.61.122/31
192.31.197.102,198.51.109.128/25
192.31.226.15,192.88.112.0/21
198.51.26.181,192.226.221.0/25
203.209.204.153,203.0.108.192/28
192.31.197.202,198.51.107.64/28
192.88.102.155,192.91.244.0/24
192.0.4.61,198.191.188.0/26
192.191.59.56,198.50.229.80/29
68.157.127.107,206.215.208.0/22
168.195.37.95,194.136.0.0/13
122.216.65.42,192.140.80.0/20
192.92.83.164,192.30.42.240/30
192.170.164.86,192.186.168.0/23
192.90.45.22,199.216.0.0/15
192.48.136.179,203.3.161.48/30
169.253.22.237,198.51.101.192/28
192.164.62.88,192.0.17.112/30
192.31.215.188,168.104.180.0/22
169.255.183.177,192.53.0.0/16
192.175.50.19,192.26.176.0/21
192.52.194.84,98.101.239.121/32
203.0.112.54,198.50.181.112/28
156.74.81.236,203.8.152.0/25
203.0.143.18,192.52.192.0/25
192.31.197.153,198.28.232.0/22
192.88.100.230,192.88.81.168/30
169.229.48.56,192.88.112.0/20
203.0.58.0,126.0.0.0/8
101.79.21.240,192.175.49.0/26
192.95.58.53,192.0.19.0/25
169.224.39.147,192.31.0.0/17
192.88.98.191,192.30.83.80/31
198.34.157.66,192.52.198.0/23
198.51.192.21,100.186.249.24/29
192.88.50.78,169.174.8.0/21
192.171.14.61,192.174.7.0/24
192.55.103.117,198.51.244.0/23
4.133.217.117,195.153.224.0/21
192.88.105.107,192.53.160.0/19
192.52.179.211,198.32.200.0/22
192.31.213.192,192.0.1.160/27
202.73.249.194,192.202.0.0/17
192.31.38.34,192.0.10.160/28
203.8.152.39,192.231.144.0/21
192.54.129.24,192.89.0.0/19
192.166.92.117,169.220.192.0/20
169.233.107.3,192.175.51.192/29
192.31.206.25,196.169.126.176/28
198.51.220.135,192.120.0.0/15
199.40.92.196,192.82.117.73/32
192.31.253.178,125.192.0.0/10
192.0.23.123,198.51.101.0/27
192.175.52.2,192.55.224.0/20
192.82.144.77,193.2.248.0/22
169.228.238.250,192.175.50.128/26
192.0.3.243,192.61.44.0/22
198.103.146.26,192.0.1.128/26
14.26.188.153,192.61.0.0/16
169.208.80.12,5.56.0.0/13
108.35.200.202,192.175.75.128/27
192.31.218.159,185.158.198.164/30
192.175.116.248,203.0.40.0/21
192.54.110.56,172.0.0.0/6
192.0.184.115,192.52.128.0/21
2.38.197.225,192.52.195.192/26
192.88.67.23,192.171.232.0/21
192.0.5.224,192.31.236.176/31
195.232.228.174,195.232.228.0/24
192.53.140.48,203.64.0.0/11
123.64.199.52,123.64.0.0/11
192.31.197.81,192.11.126.230/31
181.136.148.57,203.0.89.64/26
203.0.115.97,203.42.248.0/21
192.169.227.160,169.199.12.160/27
192.31.198.167,192.52.197.0/24
192.174.197.172,203.0.115.0/27
192.52.199.180,192.52.224.0/20
203.0.108.31,37.172.30.64/27
192.1.240.164,203.6.0.0/15
169.241.24.18,170.132.0.0/14
192.175.52.210,192.0.3.128/26
192.53.220.140,169.204.231.160/30
169.253.32.56,169.253.32.0/21
192.88.105.41,198.51.114.32/31
198.50.58.181,16.19.80.0/22
192.175.9.53,192.175.58.196/30
195.186.114.188,192.88.82.0/24
192.0.7.142,192.52.202.0/23
192.7.251.252,203.16.0.0/13
203.0.112.62,169.234.187.22/32
204.177.43.154,192.90.52.0/23
168.168.25.96,192.88.96.64/26
192.88.97.177,192.30.0.0/16
192.0.11.113,192.89.0.0/18
192.88.92.241,192.0.7.64/27
198.49.186.240,203.0.105.228/30
3.46.100.181,192.52.157.64/29
192.88.68.45,192.2.24.0/22
192.52.46.54,192.150.64.0/19
33.3.173.14,203.23.9.64/26
198.48.228.19,198.51.96.0/26
192.175.62.40,192.25.0.0/17
192.0.163.125,192.51.148.236/32
198.63.218.17,203.0.112.253/32
192.0.5.113,198.61.251.0/24
192.88.98.176,192.175.41.48/28
192.28.175.203,198.51.117.0/25
192.31.211.238,198.36.117.176/29
192.52.221.129,192.31.157.20/32
120.56.252.9,198.51.103.0/25
192.91.95.157,192.88.175.192/26
203.2.154.33,87.228.232.0/26
192.52.196.194,198.51.72.83/32
192.52.215.34,203.0.100.0/23
186.202.112.121,193.80.0.0/12
100.163.184.200,169.249.27.40/29
169.249.126.223,192.89.165.0/24
192.0.1.161,192.30.128.0/17
198.51.106.24,192.52.201.202/31
192.44.16.12,198.50.64.0/18
192.31.252.102,192.138.128.0/17
199.172.169.94,192.31.199.0/25
169.211.33.29,192.88.103.72/31
192.52.165.142,192.52.192.108/31
203.0.96.147,169.253.159.0/25
194.83.131.104,203.0.64.0/19
198.51.214.19,203.0.126.64/31
101.231.168.171,192.52.195.0/24
198.16.122.104,203.0.115.7/32
192.52.219.231,169.255.129.232/30
192.0.113.86,1.0.0.0/8
203.30.39.236,192.92.216.0/22
198.53.89.204,198.48.116.48/28
192.28.106.40,198.51.156.0/24
203.115.243.87,192.0.34.212/31
198.166.211.58,192.175.49.96/27
194.168.209.137,198.48.131.252/30
192.55.50.21,192.0.1.64/26
192.84.71.124,192.170.240.68/30
192.86.143.142,103.130.128.252/30
116.78.196.175,192.0.120.32/28
192.31.132.75,192.40.0.0/13
132.166.73.122,198.51.98.64/26
203.122.137.103,192.175.121.96/27
198.51.174.121,169.224.175.176/29
196.142.31.218,192.31.202.140/30
169.179.174.170,203.179.108.0/22
100.209.108.30,192.175.96.0/19
169.8.10.243,169.8.0.0/17
192.104.145.49,192.50.128.0/19
192.52.216.42,100.176.0.0/13
3.190.148.123,203.0.6.146/31
192.52.192.54,192.60.0.0/15
1.242.20.0,199.93.176.0/20
201.7.5.240,192.55.128.0/17
203.1.23.230,192.0.4.136/29
192.31.197.183,192.175.52.116/31
210.74.24.249,169.228.192.0/18
203.133.12.177,203.1.16.0/21
102.40.159.77,203.30.75.32/29
198.55.140.18,192.48.251.80/29
192.13.19.228,192.89.0.0/17
192.140.57.80,198.51.101.248/32
192.88.103.172,203.0.121.0/26
73.234.178.202,8.141.128.0/19
12.120.224.182,192.31.156.128/26
204.90.243.215,192.84.178.64/27
203.0.112.184,192.52.202.0/23
192.31.165.214,192.159.0.0/16
198.87.82.249,200.128.0.0/9
192.0.38.141,203.20.0.0/14
133.22.58.149,12.0.0.0/7
203.0.79.103,198.48.0.0/15
203.1.18.98,203.0.120.0/21
192.53.137.60,192.24.27.98/31
192.2.47.124,192.52.212.96/27
192.183.242.149,192.242.202.0/24
192.31.215.137,203.28.183.0/26
192.1.157.221,192.0.32.0/23
203.0.118.168,192.0.117.0/26
198.51.134.143,100.43.58.0/23
192.2.1.156,192.52.196.178/32
203.0.117.74,192.90.128.0/20
192.88.124.31,203.0.115.162/31
192.174.0.142,66.99.79.0/25
192.175.57.51,192.120.13.128/26
169.255.15.179,192.0.248.0/21
198.51.24.122,198.51.24.0/21
192.26.241.146,192.175.23.0/24
195.158.92.55,192.170.171.224/27
201.64.230.73,193.128.0.0/9
173.225.21.11,198.51.72.0/21
104.184.198.213,192.0.1.80/28
197.35.74.164,203.87.0.0/19
192.119.17.5,196.98.0.0/15
192.161.156.99,192.95.0.0/17
192.31.198.141,192.29.110.128/25
198.32.230.68,192.31.34.0/24
198.49.19.255,192.7.4.64/26
210.8.161.249,192.2.70.0/23
192.168.95.92,203.9.144.0/22
192.52.200.243,169.162.200.0/21
192.31.77.206,192.175.52.128/25
198.49.241.61,192.0.13.221/32
192.0.1.18,100.20.80.0/24
192.53.20.59,192.0.1.224/27
100.23.125.21,203.34.35.0/26
29.103.160.133,192.88.64.0/22
192.189.58.121,192.172.72.0/23
192.12.211.131,203.0.0.0/18
3.5.54.38,167.138.0.0/15
203.0.116.253,192.89.160.0/21
203.2.17.40,192.175.16.0/20
170.50.245.241,192.19.181.8/31
169.218.49.51,198.55.244.0/22
203.0.116.225,203.105.16.0/22
168.55.51.114,192.0.40.0/21
192.174.146.8,214.128.0.0/12
192.0.72.5,169.255.31.192/29
203.0.114.32,192.175.43.192/26
203.29.163.32,198.55.232.56/30
192.20.79.1,203.0.114.192/28
121.11.236.173,192.175.226.0/24
192.1.30.59,192.31.198.247/32
192.88.81.97,123.118.180.128/27
192.2.121.69,192.30.62.68/31
192.25.139.169,169.251.128.0/17
198.54.75.14,192.90.138.32/27
192.62.255.150,192.88.98.80/28
169.8.0.243,169.8.0.0/17
192.90.231.126,192.31.32.0/19
198.17.78.255,192.24.0.0/15
169.253.55.174,169.255.0.0/16
192.173.151.226,192.71.176.0/21
192.42.73.205,203.184.180.99/32
197.48.39.106,198.50.141.0/24
198.16.101.243,198.54.64.0/20
192.31.21.143,192.31.21.140/30
169.253.33.220,151.163.213.148/30
192.31.145.206,108.0.0.0/6
194.211.224.74,192.52.230.208/28
169.250.59.144,203.0.112.64/26
198.23.234.211,192.175.49.128/25
192.175.50.102,192.52.180.0/23
192.28.233.147,192.192.0.0/12
192.0.1.231,204.33.127.68/31
198.30.207.165,198.56.0.0/13
192.31.19.194,192.31.25.235/32
192.4.106.43,196.212.0.0/14
124.175.82.220,203.0.122.0/23
169.255.203.133,203.2.0.0/15
187.48.199.49,23.10.144.0/24
192.25.64.178,192.0.5.128/27
193.136.17.171,198.51.104.0/21
192.88.24.137,192.52.203.0/24
41.169.44.130,100.208.0.0/15
192.31.41.126,192.0.6.0/25
203.2.70.184,203.0.112.108/32
192.3.114.24,192.175.126.0/23
169.204.57.111,169.253.247.0/25
203.1.2.25,198.50.64.0/18
198.81.165.255,1.131.74.69/32
